"","id","uniid"
"87","YJL221C","P0CW40"
"88","YER130C","P39959"
"89","YBR155W","P33313"
"90","YDR363W","Q06340"
"91","YGR266W","P53326"
"92","YLR443W","Q06200"
"93","YPL147W","P41909"
"94","YAL034C","P28003"
"95","YBR067C","P27654"
"96","YCR095C","P25366"
"97","YLR270W","Q06151"
"98","YPR084W","Q06821"
"99","YBR184W","P38299"
"100","YMR113W","Q12676"
"101","YGR035C","P53222"
"102","YDL222C","Q07651"
"103","YCL008C","P25604"
"104","YEL065W","P39980"
"105","YNL335W","P0CH63"
"106","YNL335W","P0CH64"
"107","YMR296C","P25045"
"108","YDR232W","P09950"
"109","YGR190C","P53302"
"110","YHR116W","P38824"
"111","YDR313C","Q06651"
"112","YFR018C","P43599"
"113","YKL007W","P28495"
"114","YIL048W","P40527"
"115","YDL213C","Q07623"
"116","YDR443C","P38931"
"117","YNL292W","P48567"
"118","YKL183C-A","Q3E765"
"119","YOR324C","Q99332"
"120","YNL134C","P53912"
"121","YKL100C","P34248"
"122","YOR192C-B","Q12113"
"123","YPL021W","Q02710"
"124","YIL146C","P40458"
"125","YNL218W","P40151"
"126","YIL121W","P40474"
"127","YNL228W","P53862"
"128","YDL167C","P32770"
"129","YPL214C","P41835"
"130","YOR228C","Q12106"
"131","YBR270C","P38346"
"132","YGR222W","P10834"
"133","YEL063C","P04817"
"134","YAL068W-A","Q8TGK7"
"135","YML020W","Q03722"
"136","YGR121C","P40260"
"137","YBR222C","P38137"
"138","YDL095W","P33775"
"139","YDL003W","Q12158"
"140","YOR323C","P54885"
"141","YMR183C","P39926"
"142","YOR274W","P07884"
"143","YER146W","P40089"
"144","YML075C","P12683"
"145","YOL035C","Q08207"
"146","YPL063W","Q02776"
"147","YDR457W","Q03280"
"148","YLR273C","Q06216"
"149","YDR181C","Q04003"
"150","YLR434C","O13576"
"151","YGL097W","P21827"
"152","YCL056C","P25584"
"153","YJL083W","P47030"
"154","YOR026W","P26449"
"155","YPL140C","P32491"
"156","YNR016C","Q00955"
"157","YER123W","P39962"
"158","YGR055W","P50276"
"159","YKR054C","P36022"
"160","YMR315W","Q04869"
"161","YAL024C","P07866"
"162","YKL202W","P36042"
"163","YKL187C","P34231"
"164","YDR383C","Q12493"
"165","YDR396W","O13522"
"166","YGR115C","P53269"
"167","YKL055C","P35731"
"168","YDR035W","P14843"
"169","YBL062W","P38189"
"170","YHR160C","P38855"
"171","YGR047C","P33339"
"172","YDR119W","Q04602"
"173","YBR208C","P32528"
"174","YER151C","Q01477"
"175","YLR070C","Q07993"
"176","YPR019W","P30665"
"177","YPL228W","O13297"
"178","YPR190C","P32349"
"179","YGR041W","P53226"
"180","YDR353W","P29509"
"181","YHR097C","P38809"
"182","YPL047W","Q03067"
"183","YPL014W","Q02606"
"184","YGR007W","P33412"
"185","YML116W","P13090"
"186","YOL137W","Q08280"
"187","YGL155W","P18898"
"188","YER061C","P39525"
"189","YKL214C","P36036"
"190","YPL119C","P24784"
"191","YDL125C","Q04344"
"192","YHR186C","P38873"
"193","YKL011C","Q03702"
"194","YLL019C","P32350"
"195","YNL257C","P38717"
"196","YGL199C","P53092"
"197","YJR092W","P47136"
"198","YDR010C","Q12426"
"199","YBL059W","P34224"
"200","YBR291C","P38152"
"201","YPL189C-A","Q3E823"
"202","YDR262W","Q12331"
"203","YFL012W","P43580"
"204","YLR078C","P25385"
"205","YDR072C","P38954"
"206","YDR179C","Q03981"
"207","YKL153W","P36058"
"208","YOR108C-A","Q8TGL6"
"209","YGR220C","P31334"
"210","YIL053W","P41277"
"211","YMR161W","P48353"
"212","YER011W","P10863"
"213","YDR258C","P33416"
"214","YDR467C","P87264"
"215","YGL162W","P53032"
"216","YNL243W","P33338"
"217","YBR234C","P38328"
"218","YNL047C","P53955"
"219","YKL038W","P32862"
"220","YFL053W","P43550"
"221","YOR200W","Q08620"
"222","YKR060W","P36144"
"223","YPR200C","Q06597"
"224","YLR411W","Q06686"
"225","YLR318W","Q06163"
"226","YHR150W","P38848"
"227","YGL219C","P53083"
"228","YFL009W","P07834"
"229","YBR045C","P38229"
"230","YMR039C","P54000"
"231","YKL195W","P36046"
"232","YPR127W","Q06494"
"233","YPL188W","Q06892"
"234","YGL147C","P05738"
"235","YDR217C","P14737"
"236","YML015C","Q04226"
"237","YJR126C","P47161"
"238","YPR026W","P48016"
"239","YHR073W","P38713"
"240","YMR274C","Q03530"
"241","YMR008C","P39105"
"242","YHR125W","P38831"
"243","YER119C-A","P87191"
"244","YDL227C","P09932"
"245","YOR197W","Q08601"
"246","YDR034C-C","Q12392"
"247","YNL081C","P53937"
"248","YKL096W-A","P43497"
"249","YDR532C","Q04431"
"250","YNL319W","P53826"
"251","YDR049W","Q04311"
"252","YBR113W","P38267"
"253","YKL170W","P35996"
"254","YJL043W","P47053"
"255","YGL047W","P53178"
"256","YLR006C","Q07084"
"257","YHR079C","P32361"
"258","YPR171W","Q06604"
"259","YML063W","P23248"
"260","YLR178C","P14306"
"261","YHL029C","P38738"
"262","YJL090C","P47027"
"263","YBR008C","P38124"
"264","YDR372C","Q06385"
"265","YOR184W","P33330"
"266","YHR218W","P38899"
"267","YMR203W","P23644"
"268","YIR008C","P10363"
"269","YBL024W","P38205"
"270","YDR317W","Q06674"
"271","YOL166C","Q08373"
"272","YJL087C","P09880"
"273","YJL038C","P47055"
"274","YDR043C","Q03125"
"275","YHR028C","P18962"
"276","YOR340C","P46669"
"277","YCL044C","P25573"
"278","YEL072W","P39975"
"279","YFR022W","P43602"
"280","YIR010W","P40568"
"281","YBL008W","P32479"
"282","YMR178W","Q03219"
"283","YOL008W","Q08058"
"284","YHR017W","P32792"
"285","YKR101W","P21691"
"286","YMR095C","Q03144"
"287","YHR198C","P38884"
"288","YOR076C","Q08491"
"289","YGL015C","P33199"
"290","YNL219C","P53868"
"291","YLR210W","P24871"
"292","YIL034C","P13517"
"293","YLR148W","P27801"
"294","YOR342C","Q12182"
"295","YOL070C","Q08229"
"296","YDL160C","P39517"
"297","YIL043C","P38626"
"298","YLR124W","Q12327"
"299","YGR231C","P50085"
"300","YPR202W","Q08993"
"301","YGR034W","P53221"
"302","YMR266W","Q03516"
"303","YNL021W","P53973"
"304","YPL107W","Q02873"
"305","YGR088W","P06115"
"306","YHR173C","P38864"
"307","YCR063W","P25337"
"308","YHR073W-A","P0C5N7"
"309","YDL048C","Q07351"
"310","YML092C","P23639"
"311","YPR097W","Q06839"
"312","YBR201C-A","Q2V2Q3"
"313","YNL056W","P53949"
"314","YAL020C","P31386"
"315","YDL025C","Q12100"
"316","YDL243C","Q07747"
"317","YFL017C","P43577"
"318","YGL197W","P53094"
"319","YLR256W-A","P0C2I8"
"320","YHR092C","P32467"
"321","YLL011W","P33750"
"322","YDR379C-A","Q3E785"
"323","YDR113C","P40316"
"324","YLR189C","Q06321"
"325","YNR074C","P52923"
"326","YOL159C","Q08300"
"327","YDL247W","P0CD99"
"328","YFL028C","P43569"
"329","YML032C","P06778"
"330","YBR256C","P38145"
"331","YOR081C","Q12043"
"332","YLR442C","P06701"
"333","YPL024W","Q02685"
"334","YMR257C","P08468"
"335","YDL219W","Q07648"
"336","YKL122C","P32342"
"337","YKR040C","P36133"
"338","YDL080C","Q07471"
"339","YGL240W","P53068"
"340","YEL001C","P40006"
"341","YLR374C","O13545"
"342","YPR168W","Q06213"
"343","YDL034W","Q12448"
"344","YHR109W","P38818"
"345","YJL060W","P47039"
"346","YPL061W","P54115"
"347","YDR223W","Q04930"
"348","YER174C","P32642"
"349","YGR104C","P32585"
"350","YLR240W","P22543"
"351","YPR062W","Q12178"
"352","YDR402C","P21595"
"353","YLR037C","Q07987"
"354","YMR146C","P40217"
"355","YGR241C","P53309"
"356","YGL062W","P11154"
"357","YPR057W","Q99177"
"358","YIL012W","P40551"
"359","YDR156W","P50106"
"360","YJR113C","P47150"
"361","YLR416C","Q06695"
"362","YPR131C","Q06504"
"363","YLR029C","P05748"
"364","YMR155W","Q03795"
"365","YNL180C","P53879"
"366","YGR164W","P53291"
"367","YOL106W","Q08241"
"368","YIL140W","P38928"
"369","YIL171W-A","A0A023PXN9"
"370","YIL171W-A","P40891"
"371","YDR272W","Q05584"
"372","YDR114C","Q04597"
"373","YOR238W","Q08634"
"374","YPR077C","O13583"
"375","YKL142W","P35719"
"376","YLR139C","P42900"
"377","YNR044W","P32323"
"378","YPR009W","Q12286"
"379","YHR032W","P38767"
"380","YDR429C","Q04067"
"381","YGL079W","P53158"
"382","YNR031C","P53599"
"383","YHR084W","P13574"
"384","YOR004W","Q12339"
"385","YMR086C-A","Q6Q571"
"386","YMR233W","Q05024"
"387","YMR244W","Q04018"
"388","YLL010C","Q07800"
"389","YNL188W","P11927"
"390","YNL104C","P06208"
"391","YIL005W","P40557"
"392","YOR365C","Q08844"
"393","YNR030W","P53730"
"394","YBR265W","P38342"
"395","Q0055","P03876"
"396","YGL131C","P53127"
"397","YDL162C","Q12307"
"398","YDR246W-A","Q3E763"
"399","YHR033W","P38690"
"400","YNR040W","P53736"
"401","YNR034W","P50278"
"402","YEL076C","P39971"
"403","YHL046W-A","A0A023PYG5"
"404","YDL071C","Q07438"
"405","YOR173W","Q12123"
"406","YOR337W","P47988"
"407","YGL104C","P53142"
"408","YNL181W","P53878"
"409","YDR164C","P30619"
"410","YGR243W","P53311"
"411","YOR107W","Q99188"
"412","YDR464W","P38904"
"413","YGR210C","P42942"
"414","YLR012C","Q07927"
"415","YOR168W","P13188"
"416","YLR054C","Q12202"
"417","YNL002C","P40693"
"418","YHR193C","P38879"
"419","YNL294C","P48565"
"420","YOR005C","Q08387"
"421","YPR147C","Q06522"
"422","YBR092C","P24031"
"423","YJL028W","P47062"
"424","YOR242C","Q08646"
"425","YLR077W","Q08023"
"426","YCR081W","P25648"
"427","YOR396C-A","P0CL40"
"428","YOR396C-A","P0CL39"
"429","YOR396C-A","P0CL38"
"430","YLR458W","A0A023PZK9"
"431","YBL040C","P18414"
"432","YJR127C","P46974"
"433","YJL176C","P32591"
"434","YLR453C","Q06208"
"435","YCR007C","P25354"
"436","YHR128W","P18562"
"437","YOR297C","Q08749"
"438","YDR225W","P04911"
"439","YPR020W","Q12233"
"440","YJR003C","P47084"
"441","YIL101C","P40489"
"442","YHR136C","P38839"
"443","YPR114W","Q06107"
"444","YPL189W","Q08929"
"445","YJL056C","P47043"
"446","YPR169W-A","P0C5R7"
"447","YPL247C","Q12523"
"448","YDR482C","Q03375"
"449","YJL122W","P47019"
"450","YBL058W","P34223"
"451","YLL039C","P0CG63"
"452","YKL107W","P34251"
"453","YCL017C","P25374"
"454","YER085C","P40058"
"455","YMR186W","P15108"
"456","YCR065W","P25364"
"457","YOR388C","Q08911"
"458","YLR002C","Q07896"
"459","YFL045C","P07283"
"460","YPR091C","Q06833"
"461","YOL083W","Q12292"
"462","YLR307C-A","Q3E825"
"463","YDR366C","P87287"
"464","Q0065","P03878"
"465","YER190C-A","P0CL28"
"466","YER190C-A","P0CL29"
"467","YER190C-A","P0CL27"
"468","YER190C-A","P0CL30"
"469","YER190C-A","P0CL31"
"470","YDR545C-A","P0CL37"
"471","YNL020C","P53974"
"472","YGL125W","P53128"
"473","YKR038C","P36132"
"474","YDL215C","P33327"
"475","YLR354C","P15019"
"476","YCR022C","P25620"
"477","YFR008W","P43592"
"478","YDR284C","Q05521"
"479","YFL013C","P43579"
"480","YKL051W","P35735"
"481","YPR174C","Q06616"
"482","YMR091C","P32832"
"483","YJL143W","P39515"
"484","YDR112W","A0A023PXB5"
"485","YGR057C","P53237"
"486","YKL194C","P07236"
"487","YLR308W","Q06703"
"488","YBR065C","P38241"
"489","YMR029C","Q05040"
"490","YHL042W","P38729"
"491","YPR121W","Q06490"
"492","YNL068C","P41813"
"493","YLR156C-A","P0CY04"
"494","YLR156C-A","P0CY03"
"495","YLR156C-A","P0CY05"
"496","YLR156C-A","P0CY02"
"497","YGL157W","P53111"
"498","YGL178W","P39016"
"499","YMR148W","P40219"
"500","YML058W","Q04964"
"501","YLR249W","P16521"
"502","YGR019W","P17649"
"503","YJL049W","P47048"
"504","YBR263W","P37292"
"505","YOR249C","Q08683"
"506","YBL097W","P38170"
"507","YCR020W-B","Q9URQ5"
"508","YPR044C","A0A023PZI1"
"509","YDR286C","Q05530"
"510","YDR170W-A","Q03964"
"511","YGR027W-A","Q12085"
"512","YBL043W","P38195"
"513","YLR018C","Q12445"
"514","YMR076C","Q04264"
"515","YOR251C","Q08686"
"516","YAR070C","P39566"
"517","YBR124W","P38269"
"518","YJR135W-A","P57744"
"519","YOR186W","Q08560"
"520","YDR083W","P38961"
"521","YOR011W-A","Q3E807"
"522","YOR267C","Q08732"
"523","YLR109W","P38013"
"524","YOR032C","Q12398"
"525","YOR091W","Q12000"
"526","YKR059W","P10081"
"527","YBR205W","P38130"
"528","YLR316C","Q9URQ3"
"529","YDR406W-A","P0C5M2"
"530","YLR292C","P39742"
"531","YCR044C","P25625"
"532","YLR216C","P53691"
"533","YDR046C","P41815"
"534","YGR069W","P53245"
"535","YJL092W","P12954"
"536","YDR096W","Q03833"
"537","YML018C","Q03730"
"538","YLR445W","Q06201"
"539","YOR138C","Q12242"
"540","YOR369C","P48589"
"541","YGR246C","P29056"
"542","YJR145C","P0CX35"
"543","YJR145C","P0CX36"
"544","YJR138W","P47170"
"545","YHR059W","P38783"
"546","YLR138W","Q99271"
"547","YHL009W-B","P0C2J7"
"548","YDR098C-B","Q03855"
"549","YNL156C","P53898"
"550","YNL106C","P50942"
"551","YNL286W","P53830"
"552","YNL093W","P36019"
"553","YIL040W","P40532"
"554","YKL104C","P14742"
"555","YLR186W","Q06287"
"556","YDR425W","Q04053"
"557","YGL134W","P53124"
"558","YJR094W-A","P0CX26"
"559","YJR094W-A","P0CX25"
"560","YDR293C","P24276"
"561","YBL113W-A","Q8TGK5"
"562","YNR015W","P53720"
"563","YKL006W","P36105"
"564","YLR456W","Q06199"
"565","YDR448W","Q02336"
"566","YIL166C","P40445"
"567","YDR097C","Q03834"
"568","YER184C","P39961"
"569","YJL066C","P40364"
"570","YKL095W","P28320"
"571","YLR368W","Q05930"
"572","YOR194C","P32773"
"573","YGR060W","P53045"
"574","YHR041C","P34162"
"575","YBR115C","P07702"
"576","YCR097W","P0CY11"
"577","YBR147W","P38279"
"578","YFL003C","P40965"
"579","YHR086W","Q00539"
"580","YOL120C","P0CX50"
"581","YOL120C","P0CX49"
"582","YML079W","Q03629"
"583","YOR125C","P41735"
"584","YLR065C","Q99382"
"585","YNL298W","P48562"
"586","YPL134C","Q03028"
"587","YER078C","P40051"
"588","YGL225W","P40107"
"589","YLR129W","Q12220"
"590","YNL224C","P53866"
"591","YNL122C","P53921"
"592","YGL066W","P53165"
"593","YCL067C","P0CY09"
"594","YCL067C","P0CY08"
"595","YNL217W","P40152"
"596","YGL063W","P53167"
"597","YML030W","Q03713"
"598","YAL039C","P06182"
"599","YOR261C","Q08723"
"600","YLR191W","P80667"
"601","YMR316W","P54005"
"602","YCR027C","P25378"
"603","YDL046W","Q12408"
"604","YER125W","P39940"
"605","YMR263W","P38429"
"606","YOL113W","Q12469"
"607","YAL001C","P34111"
"608","YDR517W","Q04410"
"609","YBR197C","P38306"
"610","YDR192C","P49686"
"611","YJR132W","P46970"
"612","YER021W","P40016"
"613","YGL034C","P53186"
"614","YKL014C","P34241"
"615","YDL106C","P07269"
"616","YGR197C","P46950"
"617","YDR365C","Q06344"
"618","YNL280C","P32462"
"619","YCR030C","P25623"
"620","YDL154W","Q12175"
"621","YDR505C","P50896"
"622","YGL033W","P53187"
"623","YMR211W","Q03652"
"624","YBL036C","P38197"
"625","YGL202W","P53090"
"626","YIL176C","P0CE88"
"627","YIL176C","P0CE89"
"628","YOL147C","Q12462"
"629","YPR178W","P20053"
"630","YFR007W","P43591"
"631","YEL008W","P40001"
"632","YGR072W","P48412"
"633","YER022W","P32569"
"634","YNL069C","P26785"
"635","YIL118W","Q00245"
"636","YJR008W","P47085"
"637","YKL217W","P36035"
"638","YAR060C","P0CX89"
"639","YAR060C","P0CX88"
"640","YCL010C","P25554"
"641","YNL303W","P53827"
"642","YPL036W","P19657"
"643","YJR024C","P47095"
"644","YBR042C","P38226"
"645","YAL047C","P39723"
"646","YER056C-A","P87262"
"647","YFR011C","P43594"
"648","YDR256C","P15202"
"649","YFL065C","P43539"
"650","YNL287W","P32074"
"651","YAL065C","O13511"
"652","YGR103W","P53261"
"653","YLR061W","P05749"
"654","YLR171W","O13562"
"655","YGR161W-A","P0CX62"
"656","YGR161W-A","P0CX61"
"657","YOR281C","Q12017"
"658","YBR162C","P38288"
"659","YJL078C","P47033"
"660","YMR114C","Q04471"
"661","YJL152W","P47003"
"662","YGR251W","P53317"
"663","YJL067W","P40365"
"664","YBR094W","P38254"
"665","YGR065C","P53241"
"666","YGR031C-A","Q8TGN9"
"667","YGL251C","P51979"
"668","YOR260W","P09032"
"669","YKL021C","P20484"
"670","YKR028W","P36123"
"671","YOR374W","P46367"
"672","YHL026C","P38740"
"673","YNR062C","P53748"
"674","YHR014W","P23624"
"675","YCR028C","P25621"
"676","YDL015C","Q99190"
"677","YJL102W","P39677"
"678","YCR016W","P25617"
"679","YER058W","Q02771"
"680","YER149C","P40091"
"681","YJL147C","P47007"
"682","YDL035C","Q12361"
"683","YDR533C","Q04432"
"684","YGL222C","P53080"
"685","YDL090C","P22007"
"686","YBR177C","P38295"
"687","YJL034W","P16474"
"688","YML012C-A","Q6B0Y8"
"689","YNR059W","P53745"
"690","YOR034C-A","Q3E735"
"691","YGR156W","P39927"
"692","YLR066W","Q12133"
"693","YBR125C","P38089"
"694","YOR376W","Q08900"
"695","YBR173C","P38293"
"696","YCL023C","P25563"
"697","YHR057C","P23285"
"698","YAL051W","P39720"
"699","YOL162W","P0CF19"
"700","YOR077W","P40962"
"701","YLR234W","P13099"
"702","YDR198C","Q03942"
"703","YJR124C","P47159"
"704","YHR107C","P32468"
"705","YER112W","P40070"
"706","YLL066C",""
"707","YCL026C-A","P37261"
"708","YLR174W","P41939"
"709","YCR018C-A","Q96VH1"
"710","YGR108W","P24868"
"711","YDR346C","Q05515"
"712","YDR091C","Q03195"
"713","YER165C-A","A0A023PZH1"
"714","YKR092C","P32583"
"715","YLR269C","O13550"
"716","YEL069C","P39924"
"717","YLR117C","Q12309"
"718","YLR385C","Q06707"
"719","YBR250W","P33757"
"720","YDR143C","P22470"
"721","YER185W","P40100"
"722","YGL007W","P53194"
"723","YAL031C","P39732"
"724","YOL013C","Q08109"
"725","YGR139W","P53284"
"726","YLR089C","P52893"
"727","YKL222C","P35995"
"728","YKL155C","P36056"
"729","YGR154C","P48239"
"730","YNL277W","P08465"
"731","YOL061W","Q12265"
"732","YDL014W","P15646"
"733","YFR013W","P43596"
"734","YCL064C","P25379"
"735","YDR493W","Q03429"
"736","YLR345W","Q06137"
"737","YGL022W","P39007"
"738","YLR192C","Q05775"
"739","YOR265W","P48606"
"740","YCL019W","P25384"
"741","YDR031W","Q04341"
"742","YOR333C","Q08789"
"743","YDL190C","P54860"
"744","YKR083C","P36162"
"745","YBR141C","P38278"
"746","YAL008W","P18411"
"747","YDR453C","Q04120"
"748","YDR191W","P53688"
"749","YDR490C","Q03407"
"750","YER107W-A","A0A023PXJ7"
"751","YLR459W","P41733"
"752","YNL193W","P53870"
"753","YHR099W","P38811"
"754","YLR360W","Q05919"
"755","YKL070W","P36087"
"756","YPR170W-B","P0C5R9"
"757","YOR142W","P53598"
"758","YDR304C","P35176"
"759","YLR430W","Q00416"
"760","YPL020C","Q02724"
"761","YHL023C","P38742"
"762","YLR165C","Q06244"
"763","YOR283W","Q12040"
"764","YMR052C-A","Q6B0Y6"
"765","YJR054W","P47114"
"766","YOR053W","Q08428"
"767","YER084W-A","A0A023PZG0"
"768","YHL005C","P38752"
"769","YMR255W","Q04839"
"770","YDR029W","Q12111"
"771","YDR033W","Q12117"
"772","YPL154C","P07267"
"773","YNL043C","P53957"
"774","YDR253C","Q12041"
"775","YAL032C","P28004"
"776","YNL241C","P11412"
"777","YNL014W","P53978"
"778","YEL011W","P32775"
"779","YNL291C","P41821"
"780","YDL140C","P04050"
"781","YLR079W","P38634"
"782","YMR104C","P18961"
"783","YOR348C","P15380"
"784","YOR097C","Q12274"
"785","YOR072W-B","Q3E832"
"786","YHR103W","P38814"
"787","YOL126C","P22133"
"788","YOL107W","Q12239"
"789","YHR026W","P23968"
"790","YGL061C","P53168"
"791","YGR028W","P28737"
"792","YMR141W-A","P0C5Q4"
"793","YJL089W","P46954"
"794","YKL116C","P28708"
"795","YHR134W","P38838"
"796","YOR022C","Q12204"
"797","YBR228W","P38324"
"798","YNL320W","P42840"
"799","YGR123C","P53043"
"800","YBR269C","P38345"
"801","YMR220W","P24521"
"802","YLR290C","Q05892"
"803","YMR188C","Q03246"
"804","YNL258C","P53847"
"805","YNL075W","P53941"
"806","YPR159W","P32486"
"807","YMR198W","Q01649"
"808","YHR089C","P28007"
"809","YBR194W","P38305"
"810","YBR190W","P38303"
"811","YNR018W","P53721"
"812","YAL044C","P39726"
"813","YKL197C","P24004"
"814","YKL139W","Q03957"
"815","YGR138C","P53283"
"816","YHR129C","P38696"
"817","YLR436C","Q06673"
"818","YOR253W","Q08689"
"819","YNL268W","P32487"
"820","YIL105C","P40485"
"821","YDL029W","P32381"
"822","YDR403W","P21623"
"823","YOR132W","P32913"
"824","YPR160C-A","Q8TGK8"
"825","YCL026C-B","Q96VH4"
"826","YPR092W","O13586"
"827","YDR525W-A","P56508"
"828","YPL255W","Q12365"
"829","YEL012W","P28263"
"830","YOR192C","Q08579"
"831","YGL229C","P53036"
"832","YER065C","P28240"
"833","YPR194C","Q06593"
"834","YOL005C","P38902"
"835","YML052W","P54003"
"836","YML064C","P38987"
"837","YHL019C","P38700"
"838","YBR167C","P38291"
"839","YHL046C","P38725"
"840","YPR176C","P20133"
"841","YFL016C","P35191"
"842","YLR383W","Q12749"
"843","YJL062W","P40367"
"844","YDR140W","Q03920"
"845","YNL252C","P36528"
"846","YLR048W","P46654"
"847","YGR282C","P15703"
"848","YEL033W","P32633"
"849","YMR196W","Q04336"
"850","YOR205C","Q08622"
"851","YLR299W","Q05902"
"852","YER056C","P17064"
"853","YBR188C","P38302"
"854","YHR178W","P38699"
"855","YOR195W","Q08581"
"856","YER114C","P39969"
"857","YOR192C-C","Q3E736"
"858","YJL191W","P39516"
"859","YGL258W","P53058"
"860","YIL002C","P40559"
"861","YDR518W","P32474"
"862","YKR021W","P36117"
"863","YLR328W","Q06178"
"864","YKL173W","P36048"
"865","YBL003C","P04912"
"866","YNR013C","P27514"
"867","YJR077C","P23641"
"868","YDR376W","P48360"
"869","YJL120W","P47020"
"870","YPR078C","Q06813"
"871","YGL058W","P06104"
"872","YFL005W","P07560"
"873","YMR284W","P32807"
"874","YML061C","P07271"
"875","YJL139C","P26725"
"876","Q0045","P00401"
"877","YDL129W","Q07555"
"878","YLR449W","Q06205"
"879","YAL037C-B","Q8TGR8"
"880","YLR021W","Q07951"
"881","YDL007W","P40327"
"882","YOR145C","Q99216"
"883","YMR317W","Q04893"
"884","YKR069W","P36150"
"885","YOR287C","Q12481"
"886","YIL122W","P40473"
"887","YHR071C-A","A0A023PXF2"
"888","YPL218W","P20606"
"889","YGR296C-B","P0CX97"
"890","YGR296C-B","P0CX96"
"891","YGR296C-B","P0CX98"
"892","YGR296C-B","P0CX95"
"893","YGR296C-B","P0CX94"
"894","YPR037C","Q12284"
"895","YLR080W","Q12396"
"896","YJR149W","P47177"
"897","YJL145W","P47008"
"898","YKL036C","P32859"
"899","YPR198W","P33335"
"900","YNR052C","P39008"
"901","YHR098C","P38810"
"902","YOR244W","Q08649"
"903","YMR314W","P40302"
"904","YLR173W","Q06247"
"905","YHR190W","P29704"
"906","YPL097W","P48527"
"907","YNL115C","P53925"
"908","YLR103C","Q08032"
"909","YBR112C","P14922"
"910","YNL247W","P53852"
"911","YLR123C","Q12174"
"912","YOR345C","Q08811"
"913","YNR065C","P53751"
"914","YER014C-A","P85052"
"915","YKL132C","P36001"
"916","YPL222W","Q08968"
"917","YKL012W","P33203"
"918","YLR395C","P04039"
"919","YHR141C","P0CX28"
"920","YHR141C","P0CX27"
"921","YAL041W","P11433"
"922","YBL052C","P34218"
"923","YCL045C","P25574"
"924","YNL011C","P53980"
"925","YDL135C","Q12434"
"926","YMR237W","Q05029"
"927","Q0032","Q9ZZX7"
"928","YOR020W-A","Q3E824"
"929","YOR054C","Q08438"
"930","YMR158C-A","Q3E843"
"931","Q0070","Q9ZZX1"
"932","YGR214W","P32905"
"933","YIR021W-A","Q3E739"
"934","YGR046W","P53230"
"935","YGR224W","P50080"
"936","YMR130W","Q04223"
"937","YLR455W","Q06188"
"938","YDR308C","P47822"
"939","YJL153C","P11986"
"940","YGL259W","P53057"
"941","YKR036C","P36130"
"942","YIR030W-A","A0A023PZK4"
"943","YDR320C","Q06677"
"944","YIL047C-A","A0A023PYH8"
"945","YBR035C","P38075"
"946","YCR002C","P25342"
"947","YOR192C-A","Q12439"
"948","YDR244W","P35056"
"949","YAL016W","P31383"
"950","YER097W","P40062"
"951","Q0275","P00420"
"952","YPR093C","Q06834"
"953","YMR239C","Q02555"
