!
!Date: 09/14/2017
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Feature	Feature Systematic Name	Feature Type	Coordinates	Strand
QRI1	YDL103C	ORF	275148-276581	-
POL3	YDL102W	ORF	276872-280165	+
DUN1	YDL101C	ORF	280307-281848	-
GET3	YDL100C	ORF	282112-283176	-
BUG1	YDL099W	ORF	283419-284444	+
SNU23	YDL098C	ORF	284581-285165	-
RPN6	YDL097C	ORF	285391-286695	-
OPI6	YDL096C	ORF	286998-287324	-
PMT1	YDL095W	ORF	287059-289512	+
YDL094C	YDL094C	ORF	289572-290081	-
PMT5	YDL093W	ORF	289909-292140	+
SRP14	YDL092W	ORF	292781-293221	+
UBX3	YDL091C	ORF	293392-294759	-
RAM1	YDL090C	ORF	295034-296329	-
NUR1	YDL089W	ORF	296820-298274	+
ASM4	YDL088C	ORF	298417-300003	-
LUC7	YDL087C	ORF	300214-300999	-
YDL086W	YDL086W	ORF	301413-302234	+
YDL086C-A	YDL086C-A	ORF	301655-302089	-
YDL085C-A	YDL085C-A	ORF	302464-302670	-
NDE2	YDL085W	ORF	303211-304848	+
SUB2	YDL084W	ORF	305237-306577	+
RPS16B	YDL083C	ORF	306926-307789	-
RPL13A	YDL082W	ORF	308424-309388	+
RPP1A	YDL081C	ORF	309802-310122	-
THI3	YDL080C	ORF	310642-312471	-
MRK1	YDL079C	ORF	312951-314748	-
MDH3	YDL078C	ORF	315357-316388	-
ARS412	ARS412	ARS	316771-317230	0
VAM6	YDL077C	ORF	316971-320120	-
RXT3	YDL076C	ORF	320668-321552	-
RPL31A	YDL075W	ORF	322226-322988	+
SNR63	snR63	snoRNA_gene	323217-323471	-
BRE1	YDL074C	ORF	324047-326149	-
AHK1	YDL073W	ORF	326613-329567	+
ARS413	ARS413	ARS	329566-329814	0
YET3	YDL072C	ORF	329836-330447	-
YDL071C	YDL071C	ORF	330666-331040	-
BDF2	YDL070W	ORF	331024-332940	+
CBS1	YDL069C	ORF	333121-333810	-
YDL068W	YDL068W	ORF	333500-333829	+
COX9	YDL067C	ORF	334217-334396	-
IDP1	YDL066W	ORF	334835-336121	+
PEX19	YDL065C	ORF	336249-337277	-
UBC9	YDL064W	ORF	337487-338070	+
SYO1	YDL063C	ORF	338272-340134	-
YDL062W	YDL062W	ORF	339857-340282	+
RPS29B	YDL061C	ORF	340628-340798	-
TSR1	YDL060W	ORF	341619-343985	+
RAD59	YDL059C	ORF	344237-344953	-
USO1	YDL058W	ORF	345665-351037	+
YDL057W	YDL057W	ORF	351434-352420	+
MBP1	YDL056W	ORF	352877-355378	+
PSA1	YDL055C	ORF	355674-356759	-
tK(UUU)D	tK(UUU)D	tRNA_gene	359577-359672	+
MCH1	YDL054C	ORF	359825-361285	-
PBP4	YDL053C	ORF	361699-362256	-
SLC1	YDL052C	ORF	362672-363583	-
LHP1	YDL051W	ORF	363952-364779	+
YDL050C	YDL050C	ORF	364446-364817	-
KNH1	YDL049C	ORF	365068-365874	-
STP4	YDL048C	ORF	366739-368211	-
SIT4	YDL047W	ORF	369771-370706	+
NPC2	YDL046W	ORF	371240-371761	+
MRP10	YDL045W-A	ORF	372248-372535	+
FAD1	YDL045C	ORF	372688-373608	-
MTF2	YDL044C	ORF	373967-375289	-
PRP11	YDL043C	ORF	375680-376480	-
SIR2	YDL042C	ORF	376757-378445	-
YDL041W	YDL041W	ORF	378102-378455	+
NAT1	YDL040C	ORF	378874-381438	-
PRM7	YDL039C	ORF	381985-384081	-
BSC1	YDL037C	ORF	384601-385587	-
PUS9	YDL036C	ORF	387513-388901	-
GPR1	YDL035C	ORF	389172-392057	-
YDL034W	YDL034W	ORF	391783-392127	+
SLM3	YDL033C	ORF	392659-393912	-
YDL032W	YDL032W	ORF	393690-394001	+
DBP10	YDL031W	ORF	394217-397204	+
PRP9	YDL030W	ORF	397537-399129	+
ARP2	YDL029W	ORF	399340-400638	+
MPS1	YDL028C	ORF	400997-403291	-
MRX9	YDL027C	ORF	403695-404957	-
YDL026W	YDL026W	ORF	404749-405060	+
RTK1	YDL025C	ORF	405344-407206	-
YDL025W-A	YDL025W-A	ORF	405410-405514	+
ARS414	ARS414	ARS	408075-408316	0
DIA3	YDL024C	ORF	408451-409857	-
YDL022C-A	YDL022C-A	ORF	409808-410056	-
tA(AGC)D	tA(AGC)D	tRNA_gene	410379-410451	+
YDL023C	YDL023C	ORF	411761-412081	-
GPD1	YDL022W	ORF	411825-413000	+
GPM2	YDL021W	ORF	413953-414888	+
RPN4	YDL020C	ORF	415113-416708	-
OSH2	YDL019C	ORF	417663-421514	-
ERP3	YDL018C	ORF	422833-423510	-
CDC7	YDL017W	ORF	424209-425732	+
YDL016C	YDL016C	ORF	425570-425872	-
TSC13	YDL015C	ORF	426002-426934	-
NOP1	YDL014W	ORF	427364-428347	+
SLX5	YDL013W	ORF	429067-430926	+
YDL012C	YDL012C	ORF	431108-431517	-
YDL011C	YDL011C	ORF	432308-432631	-
GRX6	YDL010W	ORF	432330-433025	+
YDL009C	YDL009C	ORF	432925-433248	-
APC11	YDL008W	ORF	433497-433994	+
tT(AGU)D	tT(AGU)D	tRNA_gene	434264-434336	-
YDLCdelta1	YDLCdelta1	long_terminal_repeat	434423-434739	-
ARS415	ARS415	ARS	434971-435320	0
YDL007C-A	YDL007C-A	ORF	436567-436824	-
YDLWtau1	YDLWtau1	long_terminal_repeat	437149-437518	+
tS(AGA)D1	tS(AGA)D1	tRNA_gene	437772-437853	+
RPT2	YDL007W	ORF	438047-439360	+
PTC1	YDL006W	ORF	439909-440754	+
MED2	YDL005C	ORF	441014-442309	-
ATP16	YDL004W	ORF	443029-443511	+
MCD1	YDL003W	ORF	444683-446383	+
NHP10	YDL002C	ORF	446967-447578	-
RMD1	YDL001W	ORF	447984-449276	+
CEN4	CEN4	centromere	449711-449821	+
NTH1	YDR001C	ORF	450220-452475	-
YRB1	YDR002W	ORF	453045-453650	+
RCR2	YDR003W	ORF	454122-454754	+
YDR003W-A	YDR003W-A	ORF	454782-454904	+
RAD57	YDR004W	ORF	455201-456583	+
MAF1	YDR005C	ORF	456836-458103	-
SOK1	YDR006C	ORF	458542-461247	-
TRP1	YDR007W	ORF	461842-462516	+
YDR008C	YDR008C	ORF	462252-462602	-
ARS1	ARS416	ARS	462567-462622	0
GAL3	YDR009W	ORF	463434-464996	+
YDR010C	YDR010C	ORF	465051-465383	-
SNQ2	YDR011W	ORF	465919-470424	+
RPL4B	YDR012W	ORF	471853-472941	+
PSF1	YDR013W	ORF	473157-473783	+
RAD61	YDR014W	ORF	474046-475989	+
HED1	YDR014W-A	ORF	477797-478285	+
YDR015C	YDR015C	ORF	477960-478199	-
DAD1	YDR016C	ORF	478474-478758	-
KCS1	YDR017C	ORF	479115-482267	-
YDR018C	YDR018C	ORF	482670-483860	-
ARS417	ARS417	ARS	484006-484059	0
GCV1	YDR019C	ORF	484163-485365	-
DAS2	YDR020C	ORF	485746-486444	-
FAL1	YDR021W	ORF	486804-488003	+
ATG31	YDR022C	ORF	488072-488662	-
tV(UAC)D	tV(UAC)D	tRNA_gene	488797-488870	-
SES1	YDR023W	ORF	489508-490896	+
FYV1	YDR024W	ORF	491017-491502	+
RPS11A	YDR025W	ORF	491515-492324	+
NSI1	YDR026C	ORF	492556-494268	-
VPS54	YDR027C	ORF	494649-497318	-
REG1	YDR028C	ORF	497835-500879	-
YDR029W	YDR029W	ORF	501100-501414	+
RAD28	YDR030C	ORF	501753-503273	-
MIX14	YDR031W	ORF	503498-503863	+
PST2	YDR032C	ORF	504099-504695	-
ARS450	ARS450	ARS	505343-505584	0
MRH1	YDR033W	ORF	508147-509109	+
LYS14	YDR034C	ORF	509737-512109	-
YDRCdelta2	YDRCdelta2	long_terminal_repeat	512986-513258	-
YDRCdelta3	YDRCdelta3	long_terminal_repeat	513259-513590	-
YDRCTy2-1	YDRCTy2-1	LTR_retrotransposon	513692-519647	-
YDRCdelta4	YDRCdelta4	long_terminal_repeat	513692-514020	-
YDR034C-D	YDR034C-D	transposable_element_gene	514043-519356	-
YDR034C-C	YDR034C-C	transposable_element_gene	518040-519356	-
YDRCdelta5	YDRCdelta5	long_terminal_repeat	519316-519647	-
tL(UAA)D	tL(UAA)D	tRNA_gene	519743-519826	+
YDRCdelta6a	YDRCdelta6a	long_terminal_repeat	520173-520475	-
YDRWdelta7	YDRWdelta7	long_terminal_repeat	520477-520805	+
YDR034C-A	YDR034C-A	ORF	520516-520692	-
YDRCdelta6b	YDRCdelta6b	long_terminal_repeat	520806-520833	-
tQ(UUG)D1	tQ(UUG)D1	tRNA_gene	520972-521043	+
YDR034W-B	YDR034W-B	ORF	521314-521469	+
ARO3	YDR035W	ORF	521816-522928	+
EHD3	YDR036C	ORF	523211-524713	-
KRS1	YDR037W	ORF	525440-527215	+
ENA5	YDR038C	ORF	527422-530697	-
ENA2	YDR039C	ORF	531307-534582	-
ENA1	YDR040C	ORF	535192-538467	-
RSM10	YDR041W	ORF	539803-540414	+
YDR042C	YDR042C	ORF	540601-541203	-
SNR47	snR47	snoRNA_gene	541602-541700	-
NRG1	YDR043C	ORF	542674-543369	-
HEM13	YDR044W	ORF	546642-547628	+
RPC11	YDR045C	ORF	547978-548310	-
BAP3	YDR046C	ORF	548762-550576	-
HEM12	YDR047W	ORF	551860-552948	+
YDR048C	YDR048C	ORF	553084-553398	-
VMS1	YDR049W	ORF	553254-555152	+
ARS418	ARS418	ARS	555240-555404	0
TPI1	YDR050C	ORF	555726-556472	-
DET1	YDR051C	ORF	557056-558060	-
DBF4	YDR052C	ORF	558511-560625	-
YDR053W	YDR053W	ORF	560249-560644	+
CDC34	YDR054C	ORF	561440-562327	-
PST1	YDR055W	ORF	563527-564861	+
EMC10	YDR056C	ORF	565023-565640	-
YOS9	YDR057W	ORF	565927-567555	+
ARS419	ARS419	ARS	567610-567685	0
TGL2	YDR058C	ORF	567723-568703	-
tR(UCU)D	tR(UCU)D	tRNA_gene	568882-568953	+
tD(GUC)D	tD(GUC)D	tRNA_gene	568964-569035	+
UBC5	YDR059C	ORF	569234-569770	-
MAK21	YDR060W	ORF	570649-573726	+
YDR061W	YDR061W	ORF	574164-575783	+
LCB2	YDR062W	ORF	576474-578159	+
AIM7	YDR063W	ORF	578663-579112	+
RPS13	YDR064W	ORF	579458-580452	+
RRG1	YDR065W	ORF	580687-581784	+
RTR2	YDR066C	ORF	581908-582498	-
OCA6	YDR067C	ORF	582791-583465	-
DOS2	YDR068W	ORF	583713-584645	+
DOA4	YDR069C	ORF	584939-587719	-
FMP16	YDR070C	ORF	588098-588379	-
PAA1	YDR071C	ORF	588827-589402	-
IPT1	YDR072C	ORF	589761-591344	-
SNF11	YDR073W	ORF	592439-592948	+
TPS2	YDR074W	ORF	593893-596583	+
PPH3	YDR075W	ORF	597156-598082	+
RAD55	YDR076W	ORF	598468-599688	+
SED1	YDR077W	ORF	600793-601809	+
SHU2	YDR078C	ORF	602198-602869	-
PET100	YDR079W	ORF	603064-603399	+
TFB5	YDR079C-A	ORF	603593-603811	-
VPS41	YDR080W	ORF	604008-606986	+
PDC2	YDR081C	ORF	607304-610081	-
STN1	YDR082W	ORF	610441-611925	+
RRP8	YDR083W	ORF	612073-613251	+
TVP23	YDR084C	ORF	613405-614004	-
AFR1	YDR085C	ORF	614288-616150	-
SSS1	YDR086C	ORF	616928-617170	-
RRP1	YDR087C	ORF	617470-618306	-
SLU7	YDR088C	ORF	618497-619645	-
tR(ACG)D	tR(ACG)D	tRNA_gene	619969-620041	-
VTC5	YDR089W	ORF	622112-624721	+
YDR090C	YDR090C	ORF	625066-625998	-
RLI1	YDR091C	ORF	626708-628534	-
ARS420	ARS420	ARS	628938-629582	0
UBC13	YDR092W	ORF	629876-630605	+
DNF2	YDR093W	ORF	631282-636120	+
YDR094W	YDR094W	ORF	635840-636175	+
YDR095C	YDR095C	ORF	636117-636527	-
GIS1	YDR096W	ORF	637139-639823	+
ARS421	ARS421	ARS	640006-640072	0
MSH6	YDR097C	ORF	640109-643837	-
GRX3	YDR098C	ORF	644178-644930	-
tQ(UUG)D2	tQ(UUG)D2	tRNA_gene	645153-645224	-
YDRCTy1-1	YDRCTy1-1	LTR_retrotransposon	645502-651419	-
YDRCdelta7	YDRCdelta7	long_terminal_repeat	645502-645835	-
YDR098C-B	YDR098C-B	transposable_element_gene	645858-651126	-
YDR098C-A	YDR098C-A	transposable_element_gene	649804-651126	-
YDRCdelta8	YDRCdelta8	long_terminal_repeat	651086-651419	-
YDRCsigma1	YDRCsigma1	long_terminal_repeat	651420-651503	-
YDRCdelta9	YDRCdelta9	long_terminal_repeat	651682-651980	-
BMH2	YDR099W	ORF	653607-654428	+
TVP15	YDR100W	ORF	655013-655444	+
ARX1	YDR101C	ORF	655686-657467	-
YDR102C	YDR102C	ORF	657648-657980	-
STE5	YDR103W	ORF	658350-661103	+
SPO71	YDR104C	ORF	661173-664910	-
TMS1	YDR105C	ORF	665349-666770	-
ARP10	YDR106W	ORF	667004-667858	+
tI(AAU)D	tI(AAU)D	tRNA_gene	668007-668080	-
YDRWsigma2	YDRWsigma2	long_terminal_repeat	668096-668436	+
YDRWdelta10	YDRWdelta10	long_terminal_repeat	668543-668784	+
TMN2	YDR107C	ORF	669016-671034	-
TRS85	YDR108W	ORF	671269-673365	+
YDR109C	YDR109C	ORF	673520-675667	-
FOB1	YDR110W	ORF	676102-677802	+
ALT2	YDR111C	ORF	678241-679764	-
IRC2	YDR112W	ORF	679544-679852	+
PDS1	YDR113C	ORF	680496-681617	-
YDR114C	YDR114C	ORF	681924-682226	-
MRX14	YDR115W	ORF	682175-682492	+
MRPL1	YDR116C	ORF	682724-683581	-
TMA64	YDR117C	ORF	683946-685643	-
APC4	YDR118W	ORF	685882-687840	+
YDR118W-A	YDR118W-A	ORF	687768-687884	+
VBA4	YDR119W	ORF	688227-690533	+
COX26	YDR119W-A	ORF	691014-691214	+
TRM1	YDR120C	ORF	691549-693261	-
DPB4	YDR121W	ORF	693585-694175	+
KIN1	YDR122W	ORF	694700-697894	+
INO2	YDR123C	ORF	698554-699468	-
YDR124W	YDR124W	ORF	700315-701289	+
ECM18	YDR125C	ORF	701397-702758	-
ARS422	ARS422	ARS	702887-703132	0
SWF1	YDR126W	ORF	703234-704244	+
ARO1	YDR127W	ORF	704484-709250	+
MTC5	YDR128W	ORF	709549-712995	+
SAC6	YDR129C	ORF	713340-715379	-
FIN1	YDR130C	ORF	715747-716622	-
YDR131C	YDR131C	ORF	716790-718460	-
YDR132C	YDR132C	ORF	718816-720303	-
YDR133C	YDR133C	ORF	720962-721297	-
YDR134C	YDR134C	pseudogene,blocked_reading_frame	721071-721481	-
YCF1	YDR135C	ORF	723004-727551	-
VPS61	YDR136C	ORF	727711-728283	-
RGP1	YDR137W	ORF	728259-730250	+
HPR1	YDR138W	ORF	730578-732836	+
RUB1	YDR139C	ORF	733618-733924	-
MTQ2	YDR140W	ORF	734138-734803	+
DOP1	YDR141C	ORF	734901-739997	-
PEX7	YDR142C	ORF	740473-741600	-
SAN1	YDR143C	ORF	742042-743874	-
MKC7	YDR144C	ORF	744311-746101	-
TAF12	YDR145W	ORF	746738-748357	+
ARS451	ARS451	ARS	748392-748637	0
SWI5	YDR146C	ORF	748613-750742	-
EKI1	YDR147W	ORF	751631-753235	+
ARS423	ARS423	ARS	753242-753386	0
KGD2	YDR148C	ORF	753675-755066	-
YDR149C	YDR149C	ORF	755555-756262	-
NUM1	YDR150W	ORF	755628-763874	+
CTH1	YDR151C	ORF	764178-765155	-
GIR2	YDR152W	ORF	765706-766503	+
ENT5	YDR153C	ORF	766736-767971	-
YDR154C	YDR154C	ORF	768403-768753	-
CPR1	YDR155C	ORF	768512-769000	-
RPA14	YDR156W	ORF	769525-769938	+
YDR157W	YDR157W	ORF	769931-770332	+
HOM2	YDR158W	ORF	770357-771454	+
SAC3	YDR159W	ORF	771877-775782	+
SSY1	YDR160W	ORF	776163-778721	+
ACL4	YDR161W	ORF	779043-780206	+
NBP2	YDR162C	ORF	780390-781100	-
CWC15	YDR163W	ORF	781423-781950	+
SEC1	YDR164C	ORF	782041-784215	-
TRM82	YDR165W	ORF	784871-786205	+
SEC5	YDR166C	ORF	786306-789221	-
TAF10	YDR167W	ORF	789449-790069	+
CDC37	YDR168W	ORF	790328-791848	+
STB3	YDR169C	ORF	792348-793889	-
YDR169C-A	YDR169C-A	ORF	794574-794723	-
SEC7	YDR170C	ORF	796193-802222	-
tQ(UUG)D3	tQ(UUG)D3	tRNA_gene	802731-802802	-
YDRWdelta11	YDRWdelta11	long_terminal_repeat	802905-803235	+
YDR170W-A	YDR170W-A	transposable_element_gene	803195-804517	+
ARS425	ARS425	ARS	806052-806277	0
HSP42	YDR171W	ORF	806621-807748	+
SUP35	YDR172W	ORF	808324-810381	+
ARG82	YDR173C	ORF	810565-811632	-
HMO1	YDR174W	ORF	812110-812850	+
RSM24	YDR175C	ORF	813193-814152	-
NGG1	YDR176W	ORF	814452-816560	+
UBC1	YDR177W	ORF	816878-817525	+
SDH4	YDR178W	ORF	817950-818495	+
CSN9	YDR179C	ORF	818708-819196	-
NVJ3	YDR179W-A	ORF	819433-820824	+
SCC2	YDR180W	ORF	821295-825776	+
SAS4	YDR181C	ORF	825910-827355	-
CDC1	YDR182W	ORF	827582-829057	+
YDR182W-A	YDR182W-A	ORF	829151-829354	+
PLP1	YDR183W	ORF	829585-830277	+
YDR183C-A	YDR183C-A	ORF	830397-830654	-
ATC1	YDR184C	ORF	830629-831513	-
UPS3	YDR185C	ORF	831934-832473	-
SND1	YDR186C	ORF	832859-835492	-
YDR187C	YDR187C	ORF	836228-836746	-
CCT6	YDR188W	ORF	836421-838061	+
SLY1	YDR189W	ORF	838392-840392	+
RVB1	YDR190C	ORF	840604-841995	-
HST4	YDR191W	ORF	842337-843449	+
NUP42	YDR192C	ORF	843569-844861	-
YDR193W	YDR193W	ORF	844554-844952	+
MSS116	YDR194C	ORF	845952-847946	-
YDR194W-A	YDR194W-A	ORF	848071-848223	+
REF2	YDR195W	ORF	848599-850200	+
CAB5	YDR196C	ORF	850274-850999	-
CBS2	YDR197W	ORF	851228-852397	+
RKM2	YDR198C	ORF	852533-853972	-
YDR199W	YDR199W	ORF	854175-854540	+
VPS64	YDR200C	ORF	854279-856093	-
SPC19	YDR201W	ORF	856317-856814	+
RAV2	YDR202C	ORF	856898-857953	-
YDR203W	YDR203W	ORF	857682-857999	+
COQ4	YDR204W	ORF	858137-859144	+
MSC2	YDR205W	ORF	859346-861520	+
EBS1	YDR206W	ORF	862054-864708	+
UME6	YDR207C	ORF	865012-867522	-
MSS4	YDR208W	ORF	868224-870563	+
YDR209C	YDR209C	ORF	871036-871449	-
YDR210W	YDR210W	ORF	871074-871301	+
YDRWdelta13	YDRWdelta13	long_terminal_repeat	871821-872152	+
YDRWTy2-2	YDRWTy2-2	LTR_retrotransposon	871821-877779	+
YDR210W-A	YDR210W-A	transposable_element_gene	872112-873428	+
YDR210W-B	YDR210W-B	transposable_element_gene	872112-877425	+
YDRWdelta14	YDRWdelta14	long_terminal_repeat	877448-877779	+
YDRCTy1-2	YDRCTy1-2	LTR_retrotransposon	878303-884220	-
YDR210C-D	YDR210C-D	transposable_element_gene	878659-883927	-
YDR210C-C	YDR210C-C	transposable_element_gene	882605-883927	-
tI(UAU)D	tI(UAU)D	tRNA_gene	884361-884493	+
GCD6	YDR211W	ORF	884727-886865	+
TCP1	YDR212W	ORF	887232-888911	+
UPC2	YDR213W	ORF	889751-892492	+
AHA1	YDR214W	ORF	892875-893927	+
YDR215C	YDR215C	ORF	894089-894502	-
